code10,univtxt
1040303210,北教大釧路校 教育 教員／地域学 前
1040303220,北教大釧路校 教育 教員／地域学 後
1045300010,北教大札幌校 教育  前
1045300020,北教大札幌校 教育  後
1045302010,北教大札幌校 教育 教員／特別支 前
1045302020,北教大札幌校 教育 教員／特別支 後
1045302110,北教大札幌校 教育 教員／養護教 前
1045302410,北教大札幌校 教育 教員／学校教 前
1045302420,北教大札幌校 教育 教員／学校教 後
1045302510,北教大札幌校 教育 教員／言語社 前
1045302520,北教大札幌校 教育 教員／言語社 後
1045302610,北教大札幌校 教育 教員／理数教 前
1045302620,北教大札幌校 教育 教員／理数教 後
1045302710,北教大札幌校 教育 教員／生活創 前
1045302720,北教大札幌校 教育 教員／生活創 後
1045302810,北教大札幌校 教育 教員／図画工 前
1045302910,北教大札幌校 教育 教員／音楽 前
1045303010,北教大札幌校 教育 教員／保健体 前
1050300010,北教大函館校 教育  前
1050300020,北教大函館校 教育  後
1050303210,北教大函館校 教育 国際／国際協 前
1050303220,北教大函館校 教育 国際／国際協 後
1050303310,北教大函館校 教育 国際／地域政 前
1050303320,北教大函館校 教育 国際／地域政 後
1050303410,北教大函館校 教育 国際／地域環 前
1050303420,北教大函館校 教育 国際／地域環 後
1050303510,北教大函館校 教育 国際／地域教 前
1050303520,北教大函館校 教育 国際／地域教 後
1055470010,室蘭工大 理工  前
1055470020,室蘭工大 理工  後
1055470110,室蘭工大 理工 創造工 前
1055470120,室蘭工大 理工 創造工 後
1055470210,室蘭工大 理工 システム理化 前
1055470220,室蘭工大 理工 システム理化 後
1055530010,室蘭工大 理工夜  前
1055530020,室蘭工大 理工夜  後
1055530110,室蘭工大 理工夜 創造工 前
1055530120,室蘭工大 理工夜 創造工 後
1060270010,弘前大 人文社会  前
1060270020,弘前大 人文社会  後
1060270110,弘前大 人文社会 文化創生 前
1060270120,弘前大 人文社会 文化創生 後
1060270211,弘前大 人文社会 社会経営 前
1060270212,弘前大 人文社会 社会経営 前
1060270220,弘前大 人文社会 社会経営 後
1060300010,弘前大 教育  前
1060300020,弘前大 教育  後
1060301510,弘前大 教育 養護教諭 前
1060304810,弘前大 教育 学校／特別支 前
1060304820,弘前大 教育 学校／特別支 後
1060304910,弘前大 教育 学校／小学校 前
1060304920,弘前大 教育 学校／小学校 後
1060305010,弘前大 教育 学校／国語 前
1060305110,弘前大 教育 学校／社会 前
1060305210,弘前大 教育 学校／数学 前
1060305310,弘前大 教育 学校／理科 前
1060305810,弘前大 教育 学校／家庭 前
1060305910,弘前大 教育 学校／英語 前
1060470010,弘前大 理工  前
1060470020,弘前大 理工  後
1060470710,弘前大 理工 物質創成化 前
1060470720,弘前大 理工 物質創成化 後
1060470810,弘前大 理工 電子情報工 前
1060470820,弘前大 理工 電子情報工 後
1060470911,弘前大 理工 数物科学 前
1060470912,弘前大 理工 数物科学 前
1060470921,弘前大 理工 数物科学 後
1060470922,弘前大 理工 数物科学 後
1060471010,弘前大 理工 地球環境防災 前
1060471020,弘前大 理工 地球環境防災 後
1060471110,弘前大 理工 機械科学 前
1060471120,弘前大 理工 機械科学 後
1060471210,弘前大 理工 自然エネルギ 前
1060471220,弘前大 理工 自然エネルギ 後
1060550010,弘前大 医  前
1060550111,弘前大 医 医 前
1060550112,弘前大 医 医 前
1060550310,弘前大 医 保健／看護学 前
1060550410,弘前大 医 保健／放射線 前
1060550510,弘前大 医 保健／検査技 前
1060550610,弘前大 医 保健／理学療 前
1060550710,弘前大 医 保健／作業療 前
1060550810,弘前大 医 心理支援科学 前
1060740010,弘前大 農学生命  前
1060740020,弘前大 農学生命  後
1060740510,弘前大 農学生命 生物 前
1060740520,弘前大 農学生命 生物 後
1060740610,弘前大 農学生命 分子生命科学 前
1060740620,弘前大 農学生命 分子生命科学 後
1060740710,弘前大 農学生命 食料資源 前
1060740720,弘前大 農学生命 食料資源 後
1060740810,弘前大 農学生命 国際園芸農 前
1060740820,弘前大 農学生命 国際園芸農 後
1060740910,弘前大 農学生命 地域環境工 前
1060740920,弘前大 農学生命 地域環境工 後
1245020010,信州大 人文  前
1245020020,信州大 人文  後
1245020410,信州大 人文 人文 前
1245020420,信州大 人文 人文 後
1245210010,信州大 経法  前
1245210110,信州大 経法 応用経済 前
1245210210,信州大 経法 総合法律 前
1245300010,信州大 教育  前
1245300020,信州大 教育  後
1245303010,信州大 教育 学校／社会 前
1245303310,信州大 教育 学校／保健体 前
1245303510,信州大 教育 学校／現代教 前
1245303810,信州大 教育 学校／国語 前
1245303820,信州大 教育 学校／国語 後
1245303910,信州大 教育 学校／英語 前
1245303920,信州大 教育 学校／英語 後
1245304010,信州大 教育 学校／数学 前
1245304020,信州大 教育 学校／数学 後
1245304110,信州大 教育 学校／理科 前
1245304120,信州大 教育 学校／理科 後
1245304210,信州大 教育 学校／音楽 前
1245304310,信州大 教育 学校／図・美 前
1245304320,信州大 教育 学校／図・美 後
1245304410,信州大 教育 学校／ものづ 前
1245304420,信州大 教育 学校／ものづ 後
1245304510,信州大 教育 学校／家庭 前
1245304520,信州大 教育 学校／家庭 後
1245304610,信州大 教育 学校／野外教 前
1245304710,信州大 教育 学校／特別支 前
1245304810,信州大 教育 学校／心理支 前
1245420010,信州大 理  前
1245420020,信州大 理  後
1245420710,信州大 理 数学 前
1245420720,信州大 理 数学 後
1245420810,信州大 理 理／物理学 前
1245420820,信州大 理 理／物理学 後
1245420910,信州大 理 理／化学 前
1245420920,信州大 理 理／化学 後
1245421010,信州大 理 理／地球学 前
1245421020,信州大 理 理／地球学 後
1245421110,信州大 理 理／生物学 前
1245421120,信州大 理 理／生物学 後
1245421210,信州大 理 理／物質循環 前
1245421220,信州大 理 理／物質循環 後
1245460010,信州大 工  前
1245460020,信州大 工  後
1245461210,信州大 工 工／応用化学 前
1245461220,信州大 工 工／応用化学 後
1245461310,信州大 工 工／環境・エ 前
1245461320,信州大 工 工／環境・エ 後
1245461410,信州大 工 工／水環境土 前
1245461420,信州大 工 工／水環境土 後
1245461510,信州大 工 工／電気電子 前
1245461520,信州大 工 工／電気電子 後
1245461610,信州大 工 工／機械物理 前
1245461620,信州大 工 工／機械物理 後
1245461710,信州大 工 工／知能機械 前
1245461720,信州大 工 工／知能機械 後
1245461810,信州大 工 工／建築学 前
1245461820,信州大 工 工／建築学 後
1245461910,信州大 工 工／情報サイ 前
1245461920,信州大 工 工／情報サイ 後
1245462010,信州大 工 工／情報デザ 前
1245462020,信州大 工 工／情報デザ 後
1065270010,岩手大 人文社会  前
1065270020,岩手大 人文社会  後
1065270610,岩手大 人文社会 人間文化 前
1065270620,岩手大 人文社会 人間文化 後
1065270710,岩手大 人文社会 地域政策 前
1065270720,岩手大 人文社会 地域政策 後
1065300010,岩手大 教育  前
1065300020,岩手大 教育  後
1065301510,岩手大 教育 学校／小学校 前
1065301520,岩手大 教育 学校／小学校 後
1065302710,岩手大 教育 学校／特別支 前
1065302720,岩手大 教育 学校／特別支 後
1065304010,岩手大 教育 学校／国語 前
1065304110,岩手大 教育 学校／社会 前
1065304410,岩手大 教育 学校／英語 前
1065304510,岩手大 教育 学校／音楽 前
1065304610,岩手大 教育 学校／美術 前
1065304710,岩手大 教育 学校／保健体 前
1065304810,岩手大 教育 学校／数学 前
1065304910,岩手大 教育 学校／理科 前
1065470010,岩手大 理工  前
1065470020,岩手大 理工  後
1065471210,岩手大 理工 理工／化学 前
1065471220,岩手大 理工 理工／化学 後
1065471310,岩手大 理工 理工／数理物 前
1065471320,岩手大 理工 理工／数理物 後
1065471410,岩手大 理工 理工／材料科 前
1065471420,岩手大 理工 理工／材料科 後
1065471510,岩手大 理工 理工／情報系 前
1065471520,岩手大 理工 理工／情報系 後
1065471610,岩手大 理工 理工／電気電 前
1065471620,岩手大 理工 理工／電気電 後
1065471710,岩手大 理工 理工／機械知 前
1065471720,岩手大 理工 理工／機械知 後
1065471810,岩手大 理工 理工／社会基 前
1065471820,岩手大 理工 理工／社会基 後
1065471910,岩手大 理工 理工／データ 前
1065720010,岩手大 農  前
1065720020,岩手大 農  後
1065721910,岩手大 農 食料／農学 前
1065721920,岩手大 農 食料／農学 後
1065722010,岩手大 農 食料／食品健 前
1065722020,岩手大 農 食料／食品健 後
1065722110,岩手大 農 生命／機能学 前
1065722120,岩手大 農 生命／機能学 後
1065722210,岩手大 農 生命／医科学 前
1065722220,岩手大 農 生命／医科学 後
1065722310,岩手大 農 地域／革新農 前
1065722320,岩手大 農 地域／革新農 後
1065722410,岩手大 農 地域／森林科 前
1065722420,岩手大 農 地域／森林科 後
1065722510,岩手大 農 動物／動物科 前
1065722520,岩手大 農 動物／動物科 後
1065722610,岩手大 農 動物／水産シ 前
1065722620,岩手大 農 動物／水産シ 後
1065740010,岩手大 獣医  前
1065740110,岩手大 獣医 共同獣医 前
1125010010,千葉大 文  前
1125010020,千葉大 文  後
1125010510,千葉大 文 人文／行動科 前
1125010520,千葉大 文 人文／行動科 後
1125010610,千葉大 文 人文／歴史学 前
